fnm,hours
58.299,1.4
47.299,4.4
44.484,7.6
39.186,2.4
48.071,1.2
38.48,1.9
41.228,9.2
34.682,2.5
36.928,6.9
41.323,9
34.903,11.5
38.22,9.5
40.362,6.5
40.024,4
39.128,9.2
40.047,11
39.952,13
41,9.7
55.789,1.8
35.506,10
34.7,11.1
34.706,15.5
42.037,13.9
35.776,4.2
37.453,14.1
43.914,7.7
42.443,10
40.234,7
40.561,11.6
42.832,13.2
40.319,9.9
38.839,13.8
36.566,13.3
42.333,14
31.727,1.6
43.317,13.4
36.818,12.1
37,9
40.419,13.6
42.238,9
39.735,9
39.088,11.5
38.349,15.8
38.377,10.5
36.56,10.5
41.164,5.2
37.743,9.9
37.555,11.2
35.814,13.9
38.751,10.5
42.486,10.1
36.829,12.8
37.521,10
36.712,9.9
36.61,10
37.994,11.2
34.043,11.4
31.902,11.7
36.855,18
34.5,11.8
36.434,15.7
35.01,10.6
35.167,9.1
41.666,9.8
35.263,8.7
34.981,11.4
35.267,11.6
35.871,9.7
37.729,9
36.682,9.1
39.209,11.7
37.216,13.8
34.447,9.5
21.305,13.8
51.633,9.5
36.406,11.1
34.623,15.7
33.601,17
50.804,9.7
59.919,8.6
37.186,13.7
38.46,18
36.38,11.3
37.26,14.7
44.733,9.8
38.363,16.5
39.397,11.5
43.726,14
52.33,14
44.739,4.1
43.595,4.3
42.905,8.7
35.303,9.9
43.333,4.4
48.805,4.5
50.581,2.5
41.587,10.2
39.204,11.6
44.592,11.8
44.218,4.2
40.31,5.8
48.588,7.6
35.551,10.8
35.491,11
38.459,12.7
47.175,1.6
49.124,6.1
41.38,2.8
50.335,3
75.882,1.2
61.513,1.2
86.583,0.8
63.357,0.9
53.627,1.9
38.336,12.2
37.12,12.4
42.77,14.5
37.535,11.1
61.241,6.6
38.419,11
