"","Name","Area","FIPS","Sector","Year","POW"
"1","Alabama","State",1000,"Natural Resources and Mining",2001,22725
"2","Alabama","State",1000,"Construction",2001,103219
"3","Alabama","State",1000,"Manufacturing",2001,315335
"4","Alabama","State",1000,"Trade~ Transportation~ and Utilities",2001,379938
"5","Alabama","State",1000,"Information",2001,34927
"6","Alabama","State",1000,"Financial Activities",2001,92787
"7","Alabama","State",1000,"Professional and Business Services",2001,184950
"8","Alabama","State",1000,"Education and Health Services",2001,178408
"9","Alabama","State",1000,"Leisure and Hospitality",2001,149041
"10","Alabama","State",1000,"Other Services",2001,50344
"11","Alabama","State",1000,"Natural Resources and Mining",2002,21711
"12","Alabama","State",1000,"Construction",2002,100888
"13","Alabama","State",1000,"Manufacturing",2002,304185
"14","Alabama","State",1000,"Trade~ Transportation~ and Utilities",2002,374176
"15","Alabama","State",1000,"Information",2002,33879
"16","Alabama","State",1000,"Financial Activities",2002,92937
"17","Alabama","State",1000,"Professional and Business Services",2002,188025
"18","Alabama","State",1000,"Education and Health Services",2002,183529
"19","Alabama","State",1000,"Leisure and Hospitality",2002,149544
"20","Alabama","State",1000,"Other Services",2002,48855
"21","Alabama","State",1000,"Natural Resources and Mining",2003,21321
"22","Alabama","State",1000,"Construction",2003,101897
"23","Alabama","State",1000,"Manufacturing",2003,289381
"24","Alabama","State",1000,"Trade~ Transportation~ and Utilities",2003,378253
"25","Alabama","State",1000,"Information",2003,31606
"26","Alabama","State",1000,"Financial Activities",2003,95717
"27","Alabama","State",1000,"Professional and Business Services",2003,188024
"28","Alabama","State",1000,"Education and Health Services",2003,186427
"29","Alabama","State",1000,"Leisure and Hospitality",2003,154407
"30","Alabama","State",1000,"Other Services",2003,47893
"31","Alabama","State",1000,"Natural Resources and Mining",2004,21780
"32","Alabama","State",1000,"Construction",2004,102887
"33","Alabama","State",1000,"Manufacturing",2004,296088
"34","Alabama","State",1000,"Trade~ Transportation~ and Utilities",2004,382979
"35","Alabama","State",1000,"Information",2004,31310
"36","Alabama","State",1000,"Financial Activities",2004,96154
"37","Alabama","State",1000,"Professional and Business Services",2004,201054
"38","Alabama","State",1000,"Education and Health Services",2004,191444
"39","Alabama","State",1000,"Leisure and Hospitality",2004,158864
"40","Alabama","State",1000,"Other Services",2004,48287
"41","Alabama","State",1000,"Natural Resources and Mining",2005,22155
"42","Alabama","State",1000,"Construction",2005,108562
"43","Alabama","State",1000,"Manufacturing",2005,301379
"44","Alabama","State",1000,"Trade~ Transportation~ and Utilities",2005,389412
"45","Alabama","State",1000,"Information",2005,30801
"46","Alabama","State",1000,"Financial Activities",2005,98443
"47","Alabama","State",1000,"Professional and Business Services",2005,214818
"48","Alabama","State",1000,"Education and Health Services",2005,196228
"49","Alabama","State",1000,"Leisure and Hospitality",2005,163538
"50","Alabama","State",1000,"Other Services",2005,48211
"51","Alabama","State",1000,"Natural Resources and Mining",2006,21770
"52","Alabama","State",1000,"Construction",2006,111185
"53","Alabama","State",1000,"Manufacturing",2006,298701
"54","Alabama","State",1000,"Trade~ Transportation~ and Utilities",2006,393143
"55","Alabama","State",1000,"Information",2006,29986
"56","Alabama","State",1000,"Financial Activities",2006,96830
"57","Alabama","State",1000,"Professional and Business Services",2006,216735
"58","Alabama","State",1000,"Education and Health Services",2006,200724
"59","Alabama","State",1000,"Leisure and Hospitality",2006,168646
"60","Alabama","State",1000,"Other Services",2006,47858
"61","Alabama","State",1000,"Natural Resources and Mining",2007,21187
"62","Alabama","State",1000,"Construction",2007,113612
"63","Alabama","State",1000,"Manufacturing",2007,294430
"64","Alabama","State",1000,"Trade~ Transportation~ and Utilities",2007,400393
"65","Alabama","State",1000,"Information",2007,27776
"66","Alabama","State",1000,"Financial Activities",2007,98019
"67","Alabama","State",1000,"Professional and Business Services",2007,222401
"68","Alabama","State",1000,"Education and Health Services",2007,204971
"69","Alabama","State",1000,"Leisure and Hospitality",2007,171976
"70","Alabama","State",1000,"Other Services",2007,47949
"71","Alabama","Baldwin",1003,"Natural Resources and Mining",2001,894
"72","Alabama","Baldwin",1003,"Construction",2001,3229
"73","Alabama","Baldwin",1003,"Manufacturing",2001,5170
"74","Alabama","Baldwin",1003,"Trade~ Transportation~ and Utilities",2001,11032
"75","Alabama","Baldwin",1003,"Information",2001,552
"76","Alabama","Baldwin",1003,"Financial Activities",2001,2763
"77","Alabama","Baldwin",1003,"Professional and Business Services",2001,3043
"78","Alabama","Baldwin",1003,"Education and Health Services",2001,4286
"79","Alabama","Baldwin",1003,"Leisure and Hospitality",2001,7587
"80","Alabama","Baldwin",1003,"Other Services",2001,1583
"81","Alabama","Baldwin",1003,"Natural Resources and Mining",2002,943
"82","Alabama","Baldwin",1003,"Construction",2002,3094
"83","Alabama","Baldwin",1003,"Manufacturing",2002,5153
"84","Alabama","Baldwin",1003,"Trade~ Transportation~ and Utilities",2002,11278
"85","Alabama","Baldwin",1003,"Information",2002,548
"86","Alabama","Baldwin",1003,"Financial Activities",2002,2827
"87","Alabama","Baldwin",1003,"Professional and Business Services",2002,3195
"88","Alabama","Baldwin",1003,"Education and Health Services",2002,4547
"89","Alabama","Baldwin",1003,"Leisure and Hospitality",2002,7660
"90","Alabama","Baldwin",1003,"Other Services",2002,1491
"91","Alabama","Baldwin",1003,"Natural Resources and Mining",2003,919
"92","Alabama","Baldwin",1003,"Construction",2003,3634
"93","Alabama","Baldwin",1003,"Manufacturing",2003,5209
"94","Alabama","Baldwin",1003,"Trade~ Transportation~ and Utilities",2003,12018
"95","Alabama","Baldwin",1003,"Information",2003,551
"96","Alabama","Baldwin",1003,"Financial Activities",2003,3145
"97","Alabama","Baldwin",1003,"Professional and Business Services",2003,3532
"98","Alabama","Baldwin",1003,"Education and Health Services",2003,4548
"99","Alabama","Baldwin",1003,"Leisure and Hospitality",2003,7834
"100","Alabama","Baldwin",1003,"Other Services",2003,1463
"101","Alabama","Baldwin",1003,"Natural Resources and Mining",2004,886
"102","Alabama","Baldwin",1003,"Construction",2004,4127
"103","Alabama","Baldwin",1003,"Manufacturing",2004,5336
"104","Alabama","Baldwin",1003,"Trade~ Transportation~ and Utilities",2004,12323
"105","Alabama","Baldwin",1003,"Information",2004,579
"106","Alabama","Baldwin",1003,"Financial Activities",2004,3242
"107","Alabama","Baldwin",1003,"Professional and Business Services",2004,3705
"108","Alabama","Baldwin",1003,"Education and Health Services",2004,4950
"109","Alabama","Baldwin",1003,"Leisure and Hospitality",2004,7445
"110","Alabama","Baldwin",1003,"Other Services",2004,1472
"111","Alabama","Baldwin",1003,"Natural Resources and Mining",2005,854
"112","Alabama","Baldwin",1003,"Construction",2005,5000
"113","Alabama","Baldwin",1003,"Manufacturing",2005,5158
"114","Alabama","Baldwin",1003,"Trade~ Transportation~ and Utilities",2005,13237
"115","Alabama","Baldwin",1003,"Information",2005,590
"116","Alabama","Baldwin",1003,"Financial Activities",2005,3546
"117","Alabama","Baldwin",1003,"Professional and Business Services",2005,4200
"118","Alabama","Baldwin",1003,"Education and Health Services",2005,6359
"119","Alabama","Baldwin",1003,"Leisure and Hospitality",2005,7716
"120","Alabama","Baldwin",1003,"Other Services",2005,1580
"121","Alabama","Baldwin",1003,"Natural Resources and Mining",2006,889
"122","Alabama","Baldwin",1003,"Construction",2006,5554
"123","Alabama","Baldwin",1003,"Manufacturing",2006,5237
"124","Alabama","Baldwin",1003,"Trade~ Transportation~ and Utilities",2006,14385
"125","Alabama","Baldwin",1003,"Financial Activities",2006,3602
"126","Alabama","Baldwin",1003,"Professional and Business Services",2006,4489
"127","Alabama","Baldwin",1003,"Education and Health Services",2006,6649
"128","Alabama","Baldwin",1003,"Leisure and Hospitality",2006,8465
"129","Alabama","Baldwin",1003,"Natural Resources and Mining",2007,674
"130","Alabama","Baldwin",1003,"Construction",2007,5445
"131","Alabama","Baldwin",1003,"Manufacturing",2007,4993
"132","Alabama","Baldwin",1003,"Trade~ Transportation~ and Utilities",2007,15428
"133","Alabama","Baldwin",1003,"Information",2007,571
"134","Alabama","Baldwin",1003,"Financial Activities",2007,4059
"135","Alabama","Baldwin",1003,"Professional and Business Services",2007,4570
"136","Alabama","Baldwin",1003,"Education and Health Services",2007,6718
"137","Alabama","Baldwin",1003,"Leisure and Hospitality",2007,8914
