"","female","read","write","math","hon","femalexmath"
"1",0,57,52,41,0,0
"2",1,68,59,53,0,53
"3",0,44,33,54,0,0
"4",0,63,44,47,0,0
"5",0,47,52,57,0,0
"6",0,44,52,51,0,0
"7",0,50,59,42,0,0
"8",0,34,46,45,0,0
"9",0,63,57,54,0,0
"10",0,57,55,52,0,0
"11",0,60,46,51,0,0
"12",0,57,65,51,1,0
"13",0,73,60,71,0,0
"14",0,54,63,57,1,0
"15",0,45,57,50,0,0
"16",0,42,49,43,0,0
"17",0,47,52,51,0,0
"18",0,57,57,60,0,0
"19",0,68,65,62,1,0
"20",0,55,39,57,0,0
"21",0,63,49,35,0,0
"22",0,63,63,75,1,0
"23",0,50,40,45,0,0
"24",0,60,52,57,0,0
"25",0,37,44,45,0,0
"26",0,34,37,46,0,0
"27",0,65,65,66,1,0
"28",0,47,57,57,0,0
"29",0,44,38,49,0,0
"30",0,52,44,49,0,0
"31",0,42,31,57,0,0
"32",0,76,52,64,0,0
"33",0,65,67,63,1,0
"34",0,42,41,57,0,0
"35",0,52,59,50,0,0
"36",0,60,65,58,1,0
"37",0,68,54,75,0,0
"38",0,65,62,68,1,0
"39",0,47,31,44,0,0
"40",0,39,31,40,0,0
"41",0,47,47,41,0,0
"42",0,55,59,62,0,0
"43",0,52,54,57,0,0
"44",0,42,41,43,0,0
"45",0,65,65,48,1,0
"46",0,55,59,63,0,0
"47",0,50,40,39,0,0
"48",0,65,59,70,0,0
"49",0,47,59,63,0,0
"50",0,57,54,59,0,0
"51",0,53,61,61,1,0
"52",0,39,33,38,0,0
"53",0,44,44,61,0,0
"54",0,63,59,49,0,0
"55",0,73,62,73,1,0
"56",0,39,39,44,0,0
"57",0,37,37,42,0,0
"58",0,42,39,39,0,0
"59",0,63,57,55,0,0
"60",0,48,49,52,0,0
"61",0,50,46,45,0,0
"62",0,47,62,61,1,0
"63",0,44,44,39,0,0
"64",0,34,33,41,0,0
"65",0,50,42,50,0,0
"66",0,44,41,40,0,0
"67",0,60,54,60,0,0
"68",0,47,39,47,0,0
"69",0,63,43,59,0,0
"70",0,50,33,49,0,0
"71",0,44,44,46,0,0
"72",0,60,54,58,0,0
"73",0,73,67,71,1,0
"74",0,68,59,58,0,0
"75",0,55,45,46,0,0
"76",0,47,40,43,0,0
"77",0,55,61,54,1,0
"78",0,68,59,56,0,0
"79",0,31,36,46,0,0
"80",0,47,41,54,0,0
"81",0,63,59,57,0,0
"82",0,36,49,54,0,0
"83",0,68,59,71,0,0
"84",0,63,65,48,1,0
"85",0,55,41,40,0,0
"86",0,55,62,64,1,0
"87",0,52,41,51,0,0
"88",0,34,49,39,0,0
"89",0,50,31,40,0,0
"90",0,55,49,61,0,0
"91",0,52,62,66,1,0
"92",0,63,49,49,0,0
"93",1,68,62,65,1,65
"94",1,39,44,52,0,52
"95",1,44,44,46,0,46
"96",1,50,62,61,1,61
"97",1,71,65,72,1,72
"98",1,63,65,71,1,71
"99",1,34,44,40,0,40
"100",1,63,63,69,1,69
"101",1,68,60,64,0,64
"102",1,47,59,56,0,56
"103",1,47,46,49,0,49
"104",1,63,52,54,0,54
"105",1,52,59,53,0,53
"106",1,55,54,66,0,66
"107",1,60,62,67,1,67
"108",1,35,35,40,0,40
"109",1,47,54,46,0,46
"110",1,71,65,69,1,69
"111",1,57,52,40,0,40
"112",1,44,50,41,0,41
"113",1,65,59,57,0,57
"114",1,68,65,58,1,58
"115",1,73,61,57,1,57
"116",1,36,44,37,0,37
"117",1,43,54,55,0,55
"118",1,73,67,62,1,62
"119",1,52,57,64,0,64
"120",1,41,47,40,0,40
"121",1,60,54,50,0,50
