"YYYY.MM.DD","SP500","TB3MS","NAPMNOI","INDPRO","M1","HSTART","WEARN","PPI"
"1","2010-01-01",1073.869995,0.06,62.9,91.816,1677.1,614,762.62,181.9
"2","2010-02-01",1104.48999,0.11,57.1,92.099,1702.6,604,761.06,181
"3","2010-03-01",1169.430054,0.15,61.4,92.719,1713.7,636,763.98,183.3
"4","2010-04-01",1186.689941,0.16,62.4,93.061,1696.2,687,767.59,184.4
"5","2010-05-01",1089.410034,0.16,63.1,94.484,1707.3,583,768.96,184.8
"6","2010-06-01",1030.709961,0.12,60,94.683,1723.1,536,768.61,183.5
"7","2010-07-01",1101.599976,0.16,57,95.154,1722.4,546,772.92,184.1
"8","2010-08-01",1049.329956,0.16,56.9,95.487,1745.9,599,774.29,184.9
"9","2010-09-01",1141.199951,0.15,53.5,95.715,1763.9,594,775.66,184.9
"10","2010-10-01",1183.26001,0.13,59.5,95.48,1778.1,543,779.98,186.6
"11","2010-11-01",1180.550049,0.14,57.9,95.518,1833.9,545,777.71,187.7
"12","2010-12-01",1257.640015,0.14,59.8,96.394,1841.8,539,781.01,189.7
"13","2011-01-01",1286.119995,0.15,62.1,96.367,1855.6,630,781.81,192.7
"14","2011-02-01",1327.219971,0.13,61.9,95.878,1874.7,517,784.44,195.8
"15","2011-03-01",1325.829956,0.1,61.7,96.696,1892,600,785.13,199.2
"16","2011-04-01",1363.609985,0.06,62.1,96.29,1897.8,554,789.14,203.1
"17","2011-05-01",1345.199951,0.04,53.9,96.544,1934.3,561,788.9,204.1
"18","2011-06-01",1320.640015,0.04,55.9,96.761,1947,608,789.59,203.9
"19","2011-07-01",1292.280029,0.04,54.4,97.171,2001.5,623,794.98,204.6
"20","2011-08-01",1218.890015,0.02,51.3,97.77,2112.9,585,791.3,203.2
"21","2011-09-01",1131.420044,0.01,51.3,97.776,2126,650,795.33,203.7
"22","2011-10-01",1253.300049,0.02,51.2,98.43,2137.4,610,798.77,201.1
"23","2011-11-01",1246.959961,0.01,54,98.283,2172,711,798.08,201.4
"24","2011-12-01",1257.599976,0.01,55.3,98.784,2168.2,694,798.77,199.8
"25","2012-01-01",1312.410034,0.03,55.2,99.51,2202.3,723,802.47,200.7
"26","2012-02-01",1365.680054,0.09,55.9,99.739,2212.2,704,803.85,201.6
"27","2012-03-01",1408.469971,0.08,55.9,99.089,2228.7,695,803.93,204.2
"28","2012-04-01",1397.910034,0.08,57.3,99.928,2245.3,753,807.3,203.7
"29","2012-05-01",1310.329956,0.09,58.9,100.051,2251,708,805.65,201.9
"30","2012-06-01",1362.160034,0.09,51.5,99.969,2262.3,757,807.37,199.8
"31","2012-07-01",1379.319946,0.1,49.2,100.274,2314.6,740,809.09,200.1
"32","2012-08-01",1406.579956,0.1,48.4,99.833,2346.5,754,808.06,202.7
"33","2012-09-01",1440.670044,0.11,53,99.919,2383.6,847,811.15,204.4
"34","2012-10-01",1412.160034,0.1,50.2,100.188,2415.5,915,810.81,203.5
"35","2012-11-01",1416.180054,0.09,49.5,100.644,2423.2,833,813.22,201.8
"36","2012-12-01",1426.189941,0.07,50.3,100.858,2457.7,976,818.69,201.5
"37","2013-01-01",1498.109985,0.07,51.6,100.933,2467.6,888,817.34,202.5
"38","2013-02-01",1514.680054,0.1,57,101.343,2470.4,970,820.76,204.3
"39","2013-03-01",1569.189941,0.09,52.7,101.561,2474.8,999,821.79,204
"40","2013-04-01",1597.569946,0.06,50.6,101.539,2511,826,821.13,203.5
"41","2013-05-01",1630.73999,0.04,51.1,101.469,2522,920,824.21,204.1
"42","2013-06-01",1606.280029,0.05,55.9,101.662,2517.9,852,826.97,204.3
"43","2013-07-01",1685.72998,0.04,58,101.269,2546.3,891,824.57,204.4
"44","2013-08-01",1632.969971,0.04,61.5,102.044,2559.1,898,828.69,204.2
"45","2013-09-01",1681.550049,0.02,60.7,102.636,2580.1,860,827.66,203.9
"46","2013-10-01",1756.540039,0.05,58.9,102.653,2620.1,921,829.04,202.5
"47","2013-11-01",1805.810059,0.07,60.2,102.916,2622.2,1104,833.87,201.2
"48","2013-12-01",1848.359985,0.07,64.9,103.189,2654.5,1010,829.37,202
"49","2014-01-01",1782.589966,0.04,52.8,103.005,2686.4,888,833.17,203.8
"50","2014-02-01",1859.449951,0.05,56.1,103.808,2721.9,951,835.92,205.7
"51","2014-03-01",1872.339966,0.05,56.4,104.662,2748.2,963,839.73,207
"52","2014-04-01",1883.949951,0.03,56.2,104.86,2774.7,1039,839.73,208.3
"53","2014-05-01",1923.569946,0.03,58.7,105.246,2787.9,986,841.8,208
"54","2014-06-01",1960.22998,0.04,59.1,105.716,2816.2,927,843.87,208.3
"55","2014-07-01",1930.670044,0.03,62,106.08,2842.7,1095,844.22,208
"56","2014-08-01",2003.369995,0.03,63.9,106.114,2819.2,966,846.98,207
"57","2014-09-01",1972.290039,0.02,59.4,106.678,2860.7,1026,846.98,206.4
"58","2014-10-01",2018.050049,0.02,63,106.846,2867.6,1079,850.81,203.4
"59","2014-11-01",2067.560059,0.02,62.1,107.8,2883.5,1007,853.93,200.9
"60","2014-12-01",2058.899902,0.03,57.8,107.911,2918.3,1080,851.85,197
"61","2015-01-01",1994.98999,0.03,52.9,107.6,2935.8,1080,856.7,192
"62","2015-02-01",2104.5,0.02,52.5,107.437,2997.8,900,857.39,191.1
"63","2015-03-01",2067.889893,0.03,51.8,107.237,2992.8,954,857.33,191.5
"64","2015-04-01",2085.51001,0.02,53.5,107.06,3000.6,1190,858.71,190.9
"65","2015-05-01",2107.389893,0.02,55.8,106.68,2985.7,1072,860.78,193.4
"66","2015-06-01",2063.110107,0.02,56,106.68,3009.6,1211,860.78,194.8
"67","2015-07-01",2103.840088,0.03,56.5,107.511,3042.3,1152,865.35,194
"68","2015-08-01",1972.180054,0.07,51.7,107.607,3060.2,1116,868.46,192.2
"69","2015-09-01",1920.030029,0.02,50.1,107.377,3050.9,1191,866.3,189.1
"70","2015-10-01",2079.360107,0.02,52.9,107.212,3035.9,1060,869.4,187.7
