fuel,hours,nm,cargo
19926.9,1.4,341.8,124689
76867.2,4.4,1625.1,235200
273614.9,4.4,1779.6,235200
118955.8,7.6,2674.1,234766
27865.4,2.4,711.1,291527
13245.9,0.9,120.4,116874
20911,1.25,435,140223
26070.4,1.9,677.5,125280
153906,9.2,3733,140223
37044.3,2.5,1068.1,142390
110925.3,6.9,3003.8,202544
163817.8,9,3964.3,188720
188447.8,11.5,5399.1,171322
159476.1,9.5,4172.5,190321
110703.4,6.5,2742.7,190321
62390.6,4,1558.8,235200
167067.8,9.2,4269.7,235200
186469.8,11,4656.2,140940
220492.4,13,5518.8,136664
166455.4,9.7,4059.8,161768
20642,1.8,370,235200
168133.8,10,4735.3,212545
186730.3,11.1,5381.2,128105
259416.2,15.5,7474.5,126994
244807.8,13.9,5823.5,97737
60566.3,4.2,1692.9,128445
220082.4,14.1,5876.2,117953
138777.4,7.7,3160.2,235200
167568,10.01666667,3948,140223
112299.6,7,2791.1,140280
205847.9,11.6,5074.9,158766
221659,13.25,5175,140223
177113.6,9.9,4392.8,140730
241597,13.8,6220.4,144515
234828.1,13.3,6422,119504
248978.6,14,5881.3,147849
25607.1,1.6,807.1,117953
224168,13.4,5175,140223
215913.7,12.1,5864.2,168116
170646.3,9,4612,174310
234749.3,13.6,5807.8,144740
158823.8,9,3760.2,177980
159119.9,9,4004.5,142085
192979.3,11.5,4937,141453
277878.3,15.8,7245.9,107130
186866.4,10.5,4869.2,203400
182274.4,10.5,4985.5,172070
87939.4,5.2,2136.3,183280
166952.9,9.9,4423.3,189770
185300.2,11.2,4934.1,159540
244990.8,13.9,6840.5,117953
175235.9,10.5,4522,117953
169520,10.13333333,3990,140223
213656.5,12.8,5801.2,117953
157520.2,10,4198.1,117953
151473.7,9.9,4125.9,117953
163178.3,10,4457.1,117953
173061.2,11.2,4554.9,117953
185204.4,11.4,5440.2,117953
179322.8,11.7,5620.9,117953
293622.6,18,7966.9,77006
189202.9,11.8,5484.1,117953
289333.2,15.7,7941.1,117953
165609.1,10.6,4730.3,117953
140764.3,9.1,4002.7,149177
164501,9.833333333,3948,140223
144284.9,8.7,4091.6,117953
193537.2,11.4,5532.6,117953
197188.5,11.6,5591.3,134341
169963.4,9.7,4738.1,154781
149602.8,9,3965.1,145826
147887.3,9.1,4031.6,122119
193322.8,11.7,4930.5,235200
243629.7,13.8,6546.3,117953
158615.3,9.5,4604.6,142480
116652.9,13.8,5475.2,172830
232661.9,9.5,4506,176235
201503.1,11.1,5534.8,141370
273914.9,15.7,7911.2,86170
268304.7,17,7984.8,52500
162271,9.7,3194,140223
228125.1,8.6,3807.2,176235
226555.2,13.7,6092.4,64050
292924.2,18,7616.2,76750
195274.1,11.3,5367.5,79640
257380.3,14.7,6907.5,117953
188956.9,9.8,4224.1,126670
284289.3,16.5,7410.5,102006
205977.2,11.5,5228.2,117953
234335.8,14,5359.1,117953
238578,14,4559.1,84510
69704,4.166666667,1558,140223
76579.3,4.3,1756.6,235200
149592.8,8.7,3486.6,49230
170302.1,9.9,4824,148450
74204.8,4.4,1712.4,117953
76674,4.583333333,1571,140223
39362.4,2.5,778.2,235200
161282.2,10.2,3878.1,61170
183134.3,11.6,4671.2,156800
209878.2,11.8,4706.6,175250
75065.9,4.2,1697.6,235200
95523.9,5.8,2369.7,167290
136972.1,7.6,2819,235200
187909.4,10.8,5285.5,101990
189977,11,5352.7,102750
234991.1,12.7,6110.1,123730
31295.9,1.6,663.4,235200
113510.9,6.1,2310.7,235200
51766.9,2.8,1251,125744
57277,3,1137.9,172476
17263.2,1.2,227.5,267004
14855.6,1.2,241.5,111450
13940,0.833333333,161,140223
31419.1,0.9,495.9,113455
40596.3,1.9,757,123821
228096.8,12.2,5949.9,117953
227536.4,12.4,6129.6,95175
243964,14.58333333,5704,140223
205790.7,11.1,5482.5,103590
189886.1,6.6,3100.6,176235
192914.6,11,5021.3,57330
