week,income,food
1,258.3,52.25
2,343.1,58.32
3,425,81.79
4,467.5,119.9
5,482.9,125.8
6,487.7,100.46
7,496.5,121.51
8,519.4,100.08
9,543.3,127.75
10,548.7,104.94
11,564.6,107.48
12,588.3,98.48
13,591.3,181.21
14,607.3,122.23
15,611.2,129.57
16,631,92.84
17,659.6,117.92
18,664,82.13
19,704.2,182.28
20,704.8,139.13
21,719.8,98.14
22,720,123.94
23,722.3,126.31
24,722.3,146.47
25,734.4,115.98
26,742.5,207.23
27,747.7,119.8
28,763.3,151.33
29,810.2,169.51
30,818.5,108.03
31,825.6,168.9
32,833.3,227.11
33,834,84.94
34,918.1,98.7
35,918.1,141.06
36,929.6,215.4
37,951.7,112.89
38,1014,166.25
39,1141.3,115.43
40,1154.6,269.03
